,pred_normal,pred_abuse,pred_arrest,pred_arson,pred_assault,pred_burglary,pred_explosion,pred_fighting,pred_road accident,pred_robbery,pred_shooting,pred_shoplifting,pred_stealing,pred_vandalism,pred_violence
true_normal,3575,2,2,0,2,12,3,1,23,7,0,2,12,1,151
true_abuse,1,3,0,0,0,1,1,0,1,0,0,0,0,2,0
true_arrest,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0
true_arson,0,0,0,2,2,2,1,0,4,0,0,0,1,1,0
true_assault,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
true_burglary,6,0,0,3,3,6,0,0,3,3,0,0,4,1,0
true_explosion,6,0,1,3,3,2,3,0,3,1,1,1,1,1,0
true_fighting,2,1,0,0,4,1,0,1,0,3,0,0,0,1,0
true_road accident,9,0,1,0,1,1,0,0,16,1,0,0,1,1,0
true_robbery,5,0,2,1,2,1,0,0,2,6,0,2,2,0,0
true_shooting,7,0,2,1,2,5,0,0,5,0,1,0,4,1,22
true_shoplifting,9,0,0,0,0,0,0,0,1,11,0,1,2,0,0
true_stealing,4,1,0,1,0,0,0,0,4,0,0,0,2,1,0
true_vandalism,4,0,0,2,1,0,0,0,5,1,0,0,1,1,0
true_violence,224,0,0,0,0,0,0,0,0,0,0,0,0,0,4158
